State,State_Code,District,NAME,Total_Population,Median_Household_Income,Median_Home_Value,Median_Age,White_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Citizen_Voting_Age_Population
Washington,53,9,"Congressional District 9 (119th Congress), Washington",775676,100731,709200,38.2,303381,98713,110866,509192
Washington,53,10,"Congressional District 10 (119th Congress), Washington",776532,95458,532300,37.3,467094,62001,110739,571728
West_Virginia,54,2,"Congressional District 2 (119th Congress), West Virginia",908086,64861,206500,41.5,805247,26735,29714,720318
Wisconsin,55,1,"Congressional District 1 (119th Congress), Wisconsin",739693,79452,286700,41.2,571587,47698,105271,562815
Wisconsin,55,2,"Congressional District 2 (119th Congress), Wisconsin",763361,88518,405200,37.4,606521,33718,58208,579781
Wisconsin,55,3,"Congressional District 3 (119th Congress), Wisconsin",740873,73367,262700,39.8,666323,8701,27852,583044
Wisconsin,55,4,"Congressional District 4 (119th Congress), Wisconsin",722345,62083,237400,34.2,304766,228178,134439,507759
Wisconsin,55,5,"Congressional District 5 (119th Congress), Wisconsin",750363,91909,386200,43.7,647909,12948,52385,586385
Wisconsin,55,6,"Congressional District 6 (119th Congress), Wisconsin",743039,76182,265300,42.8,640319,14882,45348,581784
Wisconsin,55,7,"Congressional District 7 (119th Congress), Wisconsin",754076,73003,260600,45.7,675195,6193,24366,596524
Wisconsin,55,8,"Congressional District 8 (119th Congress), Wisconsin",747225,78966,283300,41.6,629359,11971,52035,573979
