Dist,2025 Incumbent,Party,District description,2025 PVI,"2025 PVI Rank
Sortable",
CA-28,Judy Chu,D,"San Gabriel Valley: Pasadena, Alhambra, Claremont",D+15,92,
CA-29,Luz Rivas,D,"San Fernando Valley: San Fernando, Van Nuys",D+20,57,
CA-30,Laura Friedman,D,"LA suburbs: Glendale, Burbank, West Hollywood",D+22,44,
CA-31,Gil Cisneros,D,"San Gabriel Valley: El Monte, West Covina",D+10,127,
CA-32,Brad Sherman,D,"San Fernando Valley: Sherman Oaks, Malibu",D+17,79,
CA-33,Pete Aguilar,D,"Inland Empire: San Bernardino, Rialto, Colton",D+7,149,
CA-34,Jimmy Gomez,D,Central Los Angeles,D+28,18,
CA-35,Norma Torres,D,"Inland Empire: Ontario, Pomona, Fontana",D+8,146,
CA-36,Ted Lieu,D,"South Bay LA: Torrance, Santa Monica, Venice",D+21,54,
CA-37,Sydney Kamlager-Dove,D,"Los Angeles: Leimert Park, Culver City",D+33,10,
CA-38,Linda Sánchez,D,"LA suburbs: Norwalk, Whittier, Pico Rivera",D+10,129,
CA-39,Mark Takano,D,"Riverside County: Riverside, Moreno Valley, Perris",D+7,147,
CA-40,Young Kim,R,"Inland Orange County: Yorba Linda, Mission Viejo",R+1,219,
CA-41,Ken Calvert,R,"Riverside County: Corona, Menifee, Palm Desert",R+2,229,
CA-42,Robert Garcia,D,"Long Beach, Downey, Huntington Park",D+18,68,
CA-43,Maxine Waters,D,"LA suburbs: Inglewood, Hawthorne, Compton",D+27,23,
CA-44,Nanette Barragan,D,"Port of Los Angeles: San Pedro, Carson",D+19,61,
CA-45,Derek Tran,D,"Orange County: Westminster, Garden Grove, Fullerton",D+1,202,
CA-46,Lou Correa,D,"Central Orange County: Santa Ana, Anaheim",D+11,123,
CA-47,Dave Min,D,"Orange County: Irvine, Huntington Beach, Newport Beach",D+3,185,
CA-48,Darrell Issa,R,"Inland San Diego County: Poway, Temecula",R+7,273,
CA-49,Mike Levin,D,"Northern San Diego County: Oceanside, Encinitas",D+4,165,
CA-50,Scott Peters,D,"Downtown San Diego, La Jolla",D+16,88,
CA-51,Sara Jacobs,D,"San Diego suburbs: Lemon Grove, El Cajon",D+13,103,
CA-52,Juan Vargas,D,"Parts of San Diego: Chula Vista, National City",D+13,98,
CO-01,Diana DeGette,D,Denver,D+29,16,
CO-02,Joe Neguse,D,"Boulder, Fort Collins",D+20,56,
CO-03,Jeff Hurd,R,"Grand Junction, Pueblo",R+5,245,
CO-04,Lauren Boebert,R,"Eastern Plains, south Denver suburbs",R+9,295,
CO-05,Jeff Crank,R,Colorado Springs,R+5,246,
CO-06,Jason Crow,D,"East Denver suburbs, Aurora",D+11,124,
CO-07,Brittany Pettersen,D,West Denver suburbs,D+8,145,
CO-08,Gabe Evans,R,"North Denver suburbs, Greeley",EVEN,213,
CT-01,John B. Larson,D,"Central: Hartford, Bristol",D+12,109,
CT-02,Joe Courtney,D,"East: New London, Norwich, Mansfield",D+4,167,
CT-03,Rosa DeLauro,D,"South central: New Haven, Wallingford",D+8,141,
CT-04,Jim Himes,D,"Southwest: Greenwich, Bridgeport, Stamford",D+13,99,
CT-05,Jahana Hayes,D,"Northwest: New Britain, Danbury, Waterbury, Meriden",D+3,176,
DE-AL,Sarah McBride,D,Entire state,D+8,139,
FL-01,Matt Gaetz,R,"Western Panhandle: Pensacola, Destin",R+18,393,
FL-02,Neal Dunn,R,"Panhandle: Tallahassee, Panama City",R+8,283,
FL-03,Kat Cammack,R,"North central: Gainesville, Ocala",R+10,301,
FL-04,Aaron Bean,R,"Parts of Jacksonville, Orange Park, Fernandina Beach",R+5,249,
FL-05,John Rutherford,R,"Parts of Jacksonville, Jacksonville Beach, St. Augustine",R+10,306,
FL-06,Michael Waltz,R,"Northern Atlantic coast: Daytona Beach, Palm Coast",R+14,356,
FL-07,Cory Mills,R,"Orlando suburbs: Seminole County, New Smyrna Beach",R+5,253,
FL-08,Mike Haridopolos,R,"Space Coast: Melbourne, Vero Beach",R+11,317,
FL-09,Darren Soto,D,"Orlando suburbs: Kissimmee, St. Cloud",D+4,175,
FL-10,Maxwell Frost,D,Most of Orlando,D+13,102,
FL-11,Daniel Webster,R,"North central: Clermont, The Villages",R+8,275,
