Dist,First,Last,Party,2005 PVI,2005 Raw PVI,Rank
NC-05,Virginia,Foxx,R,R+16,R+15.76,394
NC-06,Howard,Coble,R,R+18,R+18.35,411
NC-07,Mike,McIntyre,D,R+4,R+4.21,246
NC-08,Robin,Hayes,R,R+4,R+3.52,238
NC-09,Sue,Myrick,R,R+13,R+12.65,361
NC-10,Patrick,McHenry,R,R+16,R+15.84,395
NC-11,Charles H.,Taylor,R,R+7,R+6.91,295
NC-12,Mel,Watt,D,D+12,D+12.27,88
NC-13,Brad,Miller,D,D+3,D+2.78,168
ND-00,Earl,Pomeroy,D,R+13,R+13.25,370
OH-01,Steve,Chabot,R,EVEN,R+0.29,196
OH-02,Rob,Portman,R,R+13,R+13.26,371
OH-03,Mike,Turner,R,R+3,R+3.44,236
OH-04,Mike,Oxley,R,R+14,R+14.26,382
OH-05,Paul,Gillmor,R,R+10,R+10.43,337
OH-06,Ted,Strickland,D,EVEN,D+0.04,191
OH-07,Dave,Hobson,R,R+6,R+6.32,279
OH-08,John,Boehner,R,R+13,R+13.26,372
OH-09,Marcy,Kaptur,D,D+9,D+8.94,115
OH-10,Dennis,Kucinich,D,D+9,D+8.58,120
OH-11,Stephanie Tubbs,Jones,D,D+33,D+32.76,18
OH-12,Pat,Tiberi,R,R+1,R+0.55,200
OH-13,Sherrod,Brown,D,D+6,D+6.33,138
OH-14,Steve,LaTourette,R,R+2,R+2.23,216
OH-15,Deborah,Pryce,R,R+1,R+0.51,199
OH-16,Ralph,Regula,R,R+4,R+3.57,240
OH-17,Tim,Ryan,D,D+14,D+13.74,76
OH-18,Bob,Ney,R,R+6,R+6.48,283
OK-01,John,Sullivan,R,R+14,R+13.8,377
OK-02,Dan,Boren,D,R+7,R+6.87,294
OK-03,Frank,Lucas,R,R+19,R+19.38,418
OK-04,Tom,Cole,R,R+15,R+14.71,384
OK-05,Ernest,Istook,R,R+13,R+12.78,362
OR-01,David,Wu,D,D+6,D+5.72,145
OR-02,Greg,Walden,R,R+11,R+11.23,344
OR-03,Earl,Blumenauer,D,D+18,D+17.6,62
